cur_pixel,pre_pixel,dx_pixel,dy_pixel,dx_point,dy_point,dz_point,cm_per_pixel(x),pixel_per_cm(x),cm_per_pixel(y),pixel_per_cm(y)
"(553, 387)","(121, 78)",432,309,32.490761548280716,29.573074534535408,93.47650468349457,13.296087238769562,0.15231773119281838,6.53416885182442,0.15304165268407285
"(119, 113)","(553, 387)",434,274,33.95499074459076,18.126725524663925,93.85550731420517,12.781626219972948,0.15254618110744633,6.535207384412418,0.1530173323015227
"(554, 368)","(119, 113)",435,255,32.92315664887428,24.198908895254135,93.52600699663162,13.212584827125731,0.15277385026559062,6.495413167468278,0.15395479459388584
"(123, 154)","(554, 368)",431,214,34.19226062297821,15.388439863920212,93.95400601625443,12.605191705586007,0.15285206643168722,6.507009036132569,0.15368043819320537
"(554, 344)","(123, 154)",431,190,32.35396263003349,17.795334607362747,93.6767520904541,13.321397595975212,0.15280958256422783,6.517174701307075,0.15344072329370598
"(80, 214)","(554, 344)",474,130,34.27544215321541,11.574412360787392,94.00100237131119,13.829143264765548,0.1528073338013661,6.466452505610239,0.15464429671947771
"(561, 306)","(80, 214)",481,92,38.89906269311905,8.674444064497948,93.97825419902802,12.365336506812163,0.15255228893176928,6.440272451840204,0.15527293409990228
"(101, 259)","(561, 306)",460,47,35.18235355615616,5.683102494105697,93.72275441884995,13.074736437565868,0.15299245067264722,6.488430725152784,0.15412047109071245
"(560, 239)","(101, 259)",459,20,35.88888081908226,1.5291945897042751,94.25250214338303,12.789476559992027,0.15336553645289802,6.460925702609584,0.1547765824943781
"(100, 313)","(560, 239)",460,74,35.14444559812546,4.727925814688206,93.62575572729111,13.088839279471678,0.15266900477202042,6.622453158523521,0.1510014455463435
"(555, 208)","(100, 313)",455,105,35.81606888771057,6.6100379675626755,94.08100289106369,12.70379508779989,0.15292641880748037,6.685102278848684,0.14958634262993223
"(111, 367)","(555, 208)",444,159,34.46306511759758,9.341602623462677,93.49875289201736,12.883357834973422,0.1530925432840983,6.617925359781112,0.1511047564962375
"(552, 178)","(111, 367)",441,189,34.23909014463425,14.993101716041565,94.3302526473999,12.880015156276311,0.1533387402017641,6.6108629935640435,0.15126618127974253
"(108, 414)","(552, 178)",444,236,34.04583564400673,13.945554792881012,93.47225469350815,13.04124253675529,0.15320078478203164,6.619092488801279,0.15107811254970097
"(552, 120)","(108, 414)",444,294,34.69127866625786,22.176908031105995,94.43150734901428,12.798605789986414,0.1532216262709987,6.603149281563856,0.15144288843991804
"(124, 213)","(552, 120)",428,93,33.968208491802216,22.46683733165264,93.32575362920761,12.600016868811089,0.15317426524429678,6.773454180085421,0.1476351612357683
"(550, 85)","(124, 213)",426,128,32.210465013980865,8.536506414413452,93.88175547122955,13.225515366359842,0.15337227235937342,6.699569361817093,0.14926332514733076
"(132, 348)","(550, 85)",418,263,33.72399878501892,28.005876123905182,93.2477530837059,12.394734167339802,0.15353474177812276,6.570127782535171,0.15220404124531908
"(561, 433)","(132, 348)",429,85,31.108795940876007,11.897357314825058,94.27425628900528,13.790311936705564,0.15274421040550534,6.7231193133294065,0.14874048092786005
